,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,LINK,DATA_COLETA
20,60e3d3776395f772f1cc9bbf,Cachaça Barra Grande Ouro,"R$ 70,50","A Cahaça Barra Grande Ouro é um verdadeiro primor em termos de sabor. Envelhecida em tonéis de carvalho para desenvolver um sabor sublime e perfeito, esse destilado vem se tornando ao longo dos anos uma verdadeira lenda das grandes safras brasileiras. Feche os olhos e beba aos poucos a Cahaça Barra Grande Ouro e eleve-se ao sabor supremo. Cahaça Barra Grande Ouro vai ser uma grande estrela do seu universo de bebidas. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-barra-grande-ouro,26/06/2021 15:43
21,60e3d3776395f772f1cc9bc0,Cachaça Barra Grande Retrô,"R$ 46,50","Um blend incrível de Cachaça descansada em barris de Jequitibá. O líquido ganha um corpo e identidade inesquecíveis. A preparação da Cachaça Barra Grande Retrô, é toda inspirada no modo de produções antigas e de grande tradição. Sinta o leve toque da madeira na composição deste destilado e sinta-se envolvido com as belas nuances de sabor. Viva a vida plenamente. Prove a Cachaça Barra Grande Retrô e renda-se a todos os seus encantos. A sua adega merece a grandiosidade desta Cachaça Barra Grande Retrô. Compre agora mesmo e vivencie uma nova experiência. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-barra-grande-retro,26/06/2021 15:43
22,60e3d3786395f772f1cc9bc1,Cachaça Batista Ouro Bambu,"R$ 52,00","Seguir a estrela é degustar uma excelente cachaça, produzida nos mais rigorosos padrões de qualidade e aprovada por sommeliers e amantes desse destilado que, a cada dia, conquista os paladares mais exigentes ao redor do mundo. Ele é feito em tanques de aço inox e em tonéis de madeira, carvalho e jequitibá. A qualidade do destilado será aprimorada após um certo período de armazenamento. Prêmios Com merecido destaque entre as melhores cachaças brasileiras, a Cachaça Batista coleciona diversos prêmios em concursos internacionais e não esconde o orgulho de ser uma das cachaças mais premiadas em 2016 e 2017.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-batista-ouro-bambu,26/06/2021 15:43
23,60e3d3786395f772f1cc9bc2,Cachaça Batista Prata Bambu,"R$ 52,00","Seguir a estrela é degustar uma excelente cachaça, produzida nos mais rigorosos padrões de qualidade e aprovada por sommeliers e amantes desse destilado que, a cada dia, conquista os paladares mais exigentes ao redor do mundo. Ele é feito em tanques de aço inox . A qualidade do destilado será aprimorada após um certo período de armazenamento. Prêmios Com merecido destaque entre as melhores cachaças brasileiras, a Cachaça Batista coleciona diversos prêmios em concursos internacionais e não esconde o orgulho de ser uma das cachaças mais premiadas em 2016 e 2017.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-batista-prata-bambu,26/06/2021 15:43
24,60e3d3786395f772f1cc9bc3,Cachaça Beija Flor Bálsamo,"R$ 57,00","Após a destilação, a cachaça Beija Flor passa por um período mínimo de 2 anos de maturação e envelhecimento em dornas de bálsamo, o que lhe confere tons de cor, cheiro e sabor próprios, que pelas suas características naturais, fazem da cachaça Beija Flor uma bebida pura e saudável perfeitamente adequada aos apreciadores de bebidas fortes e sabor peculiar, ela tem esse nome em homenagem a um beijaflor que tinha o hábito de voar pelos canaviais da fazenda. Estado: Minas Gerais Envelhecimento: 2 anos Madeira: Bálsamo Volume: 670ml Grad. Alc. 48%",Volume: 670 ML,https://www.cachacariadosamigos.com.br/cachacas/cachaca-beija-flor-balsamo-670-ml,26/06/2021 15:43
25,60e3d3786395f772f1cc9bc4,Cachaça Bento Albino Amburana,"R$ 81,00"," Cachaça Bento Albino Amburana é uma cachaça artesanal feita a partir de cana selecionada, fermentada sem aditivos químicos, destilada em alambique de cobre e envelhecida em barris de amburana. Uma verdadeira ciência para desenvolver um sabor que vai hipnotizar os seus sentidos e tratar a sua experiência como algo memorável e inesquecível. Os sabores típicos da amburana dão um toque de canela, babaçu, amêndoas, cravo e couro. Tem um toque amargo, mas também apresenta um aspecto licoroso. As notas de cada sabor citado vão fazer uma dança continua premiando o seu paladar. A supremacia da Cachaça Bento Albino Amburana ganhou os seguintes prêmios: Em 2016 - 3ª colocada no 26º no Concurso às Cegas Expo Cachaça - Madeiras Brasileiras 2018 medalha de prata em Bruxelles.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-bento-albino-amburana,26/06/2021 15:43
26,60e3d3786395f772f1cc9bc5,Cachaça Bento Albino Extra Premium,"R$ 165,00"," Dourada com aroma marcante de baunilha e sabor de fruta madura, você vai conhecer uma bebida forjada pelos Deuses da Cachaça Artesanal. Tem álcool suave, com aromas e sabores bem integrados. A Cachaça Bento Albino Extra Premium 6 anos, é uma obra-prima em termos de bebida, pois sua composição dependeu de paciência e atenção em todos os detalhes. Ideal para se tomar pura. Cristalina, aroma herbal fresco, bom equilíbrio entre álcool e acidez, um verdadeiro primor para quem deseja degustar uma experiência nova marcante. Está a sua oportunidade de provar algo que vai fazer o seu paladar nunca mais ser o mesmo. Deliciosa e única. Vale a pena experimentar e degustar e se envolver com tantos sabores que ela proporciona. A Cachaça Bento Albino Extra Premium conquistou o 1° lugar do concurso de Bruxelles.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-bento-albino-extra-premium,26/06/2021 15:43
27,60e3d3786395f772f1cc9bc6,Cachaça Bento Albino Ouro,"R$ 75,00"," A Cachaça Bento Albino Ouro é uma cachaça envelhecida 3 anos em Barris de Carvalho. Tem cor palha, aroma vegetal e fundo amadeirado. Untuosa, tem bom final na boca com fundo seco e ligeiro, o que vai mexer com suas percepções levando-o a uma viajem de sabor interrupta pelos sabores mais tradicionais e brasileiros. Possui um aroma fino, intenso e persistente. Aroma discreto da madeira e a interferência natural do carvalho durante o processo de maturação feito em terras sulistas brasileiras aonde a produção desta bebida preciosa é uma tradição que passa de geração em geração. Esta cachaça possui sabor aveludado e com bastante permanência no paladar. Compre agora mesmo está grandiosidade moldada pelos deuses mais habilidosos da cachaça.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-bento-albino-ouro,26/06/2021 15:43
28,60e3d3786395f772f1cc9bc7,Cachaça Bento Albino Prata,"R$ 66,00"," Cachaça Artesanal Descansada em Pipas de Inox por mais de 3 Anos para atenuar as suas misturas e impregnar aromas e sabores que vão te fazer chegar as nuvens. É uma cachaça super saborosa, que abre o apetite, combina com aperitivos e petiscos e com aquela reunião de amigos e familiares que torna a vida muito mais prazerosa. Ela tem um sabor marcante de uma cachaça prata e possui um delicioso aroma de cana de açúcar e possui uma acidez moderada, tornando uma cachaça prata de excelente qualidade, digna de estar em sua mesa para valorizar cada minuto dos seus momentos de deleite da vida. Como todo o bom trabalho deve ser premiado por suas qualidades, a Cachaça Bento Albino Prata já foi duas vezes 1° lugar do cultuado concurso de Bruxelles.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-bento-albino-prata,26/06/2021 15:44
29,60e3d3786395f772f1cc9bc8,Cachaça Boazinha,"R$ 39,00","Quem não gosta de apelidar a sua bebida favorita? Quando gostamos não costumamos chamar pelo nome, mas sim com uma expressão carinhosa. A Cachaça Boazinha, tem este nome em homenagem a muitos degustadores que a tratam com tanta intimidade, desde os seus tempos a granel. Sabe qual o segredo deste destilado brasileiro tão admirado? O seu envelhecimento em barris de bálsamo, confere ao líquido uma suavidade que é um verdadeiro prêmio para o paladar. Quando a bebida já encheu os sentidos do degustador, sente-se o aroma arrebatador de ervas, o que fica impossível ficar indiferente a tanto prazer. O seu paladar e olfato serão envolvidos de forma inconfundível. O resultado desta onda de sensações se deve a 4 anos de armazenamento em madeira.",Volume: 600ml,https://www.cachacariadosamigos.com.br/cachacas/cachaca-boazinha-600ml,26/06/2021 15:44
