,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TIPO,PRODUTOR,LOCAL_DE_PRODUÇÃO,LINK,DATA_COLETA
529,60da728648d04e334f32a225, Cachaça Famosinha de Minas Tipo Exportação,"R$ 45,00"," A cachaça Famosinha de Minas é armazenada em toneis de Amburana e produzida na cidade de Papagaios/ MG, no Engenho Buriti de Minas. ",Volume: 700 ml ,Graduação Alcoólica: 42% ,,,Produtor: Fazenda Da Pontinha - Engenho Buriti De Minas CIDADE ,Local de Produção: Papagaios / Minas Gerais ,https://www.amburana.com/cachacas/famosinha-exportacao.html,26/06/2021 15:47
530,60da728748d04e334f32a226, Cachaça Bocaina,"R$ 65,00"," A Cachaça Bocaina começou a ser produzida em 1993 na cidade de Lavras, Sul de Minas Gerais. O envelhecimento do destilado é feito em tonéis de variadas madeiras, sendo o período maior no carvalho, consequência que conferem a Cachaça Bocaina, uma bebida de qualidade e paladar diferenciados. ",Volume: 700 ml ,Graduação Alcoólica: 40% ,Tipo Barril: Carvalho ,,Produtor: Antônio Claret Sales ,Local de Produção: Lavras / Minas Gerais ,https://www.amburana.com/cachacas/bocaina.html,26/06/2021 15:47
531,60da728748d04e334f32a227, Cachaça Maria Izabel Carvalho Mini,"R$ 15,00"," A Cachaça Maria Izabel Carvalho é proveniente da cidade de Paraty/ RJ. Ela é produzida em alambique e armazenada em carvalho por até 2 anos. Curiosidade: a cachaça Maria Izabel é produzida pela Maria Izabel em um dos mais bonitos alambiques de Paraty, situado num rústico sítio à beira mar. Possui capacidade de produção de até 15.000 litros/ano. ",Volume: 50 ml ,Graduação Alcoólica: 44 % ,,Tipo: Amarela ,Produtor: Alambique Paratycana ,Local de Produção: Paraty / Rio de Janeiro ,https://www.amburana.com/cachacas/mini-maria-izabel-carvalho.html,26/06/2021 15:48
532,60da728748d04e334f32a228, Cachaça Dona Beja Classic,"R$ 75,00"," A Cachaça Dona Beja Classic é envelhecida 3 anos em tonel de carvalho. Tem uma coloração levemente dourada com um visual e olfato muito bom. Aroma suave, levemente seco. Sabores de natureza frutada com álcool presente. ",Volume: 700 ml ,Graduação Alcoólica: 40% ,,,,Local de Produção: Araxá / Minas Gerais ,https://www.amburana.com/cachacas/cachaca-dona-beja-classic-700ml.html,26/06/2021 15:48
533,60da728748d04e334f32a229, Cachaça Werneck Safira Régia,"R$ 450,00"," A Cachaça Werneck Safira Régia é uma Extra Premium resultante de um maravilhoso blend de barris de carvalho com 4 e 5 anos. É um lote único e exclusivo, em garrafas francesas gravadas a ouro, numeradas de 001 a 960 e assinadas pelo Mestre Cachaceiro Eli Werneck e pelo Master Blender Agostinho Novo. Um luxuoso estojo contendo 2 taças de cristal e 1 garrafa 700ml de Cachaça Werneck Safira Régia. ",Volume: 700 ml ,,,,Produtor: Eli Werneck ,Local de Produção: Rio das Flores / RJ ,https://www.amburana.com/cachacas/cachaca-werneck-safira-regia-700-ml.html,26/06/2021 15:48
534,60da728748d04e334f32a22a, Cachaça Leblon,"R$ 80,00"," A Cachaça Leblon é produzida em Patos de Minas/ MG. É ideal para o preparo de caipirinha. Um aroma frutado com camadas complexas de cana de açúcar fresca, especiarias e frutas. O destilado aquece na boca e deixa uma suave doçura que se acentua com a cada momento. Com uma textura ultra suave e um corpo que vai do suave ao médio. A Cachaça Leblon é ideal com quase qualquer fruta e casa bem com uma variedade de ingredientes, incluindo ervas, especiarias e licores. ",Volume: 750 ml ,Graduação Alcoólica: 40 % ,,,,,https://www.amburana.com/cachacas/cachaca-leblon-750-ml.html,26/06/2021 15:48
535,60da728748d04e334f32a22b, Cachaça Cia da Fazenda Ouro,"R$ 32,00"," A Cachaça Cia da Fazenda é produzida pelo Frigorífico Santa Rosa de Leme, com filial em Bernardino de Campos/ SP. É armazenada em barris de carvalho por 12 anos. ",Volume: 700 ml ,Graduação Alcoólica: 40 % ,,,,Local de Produção: Bernardino de Campos / SP ,https://www.amburana.com/cachacas/cachaca-cia-da-fazenda-ouro-700-ml.html,26/06/2021 15:48
536,60da728748d04e334f32a22c, Cachaça Cia da Fazenda Prata,"R$ 30,00"," A Cachaça Cia da Fazenda é produzida pelo Frigorífico Santa Rosa de Leme, com filial em Bernardino de Campos/ SP. É armazenada em tonéis de jequitiba. ",Volume: 700 ml ,Graduação Alcoólica: 40 % ,,,,Local de Produção: Bernardino de Campos / SP ,https://www.amburana.com/cachacas/cachaca-cia-da-fazenda-prata-700-ml.html,26/06/2021 15:48
537,60da728748d04e334f32a22d, Cachaça Minas Ouro Ouro,"R$ 45,00", A Cachaça Minas Ouro é produzida na cidade de Ouro Fino / MG. Produzida de forma artesanal com todo o cuidade de um excelente produto. ,Volume: 670 ml,,,,,,https://www.amburana.com/cachacas/cachaca-minas-ouro-ouro-670-ml.html,26/06/2021 15:48
538,60da728748d04e334f32a22e, Cachaça Minas Ouro Prata,"R$ 32,00"," A Cachaça Minas Ouro é produzida na cidade de Ouro Fino / MG. Toda produção desde a plantação de cana, colheira e moagem de forma manual. ",Volume: 670 ml,,,,,,https://www.amburana.com/cachacas/cachaca-minas-ouro-prata-670-ml.html,26/06/2021 15:48
